pos,0,5,10,15,20,25,30,35,40,45,50
0,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
30,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
60,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
90,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
120,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
150,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
180,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
210,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
240,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
270,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
300,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
330,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
360,0.969285098,0.956724459,0.92031559,0.863685718,0.792250635,0.712339377,0.630179785,0.551003319,0.478501736,0.414720712,0.36030325
